ID,Name,Brand,Category,Barcode,Ingredients,NutriGuard Score,NutriGuard Grade,FVL_known,NNS,Algorithm,Score_low,Score_high,NS_robust,Grade_Range,NutriScore_Status
11,Arun Chocolate Ice Cream,Arun,Ice Cream,8904057301566.0,"Milk Solids, Sugar, Cocoa Solids, Liquid Glucose, Emulsifiers (471,477,322), Stabilizers (410,412), Artificial Vanilla Flavour, Chocolate Sauce",28,D+,,False,general,18,23,,E/D,
12,Bingo Original,Bingo,Chips & Snacks,8901725007508.0,"Potato, Refined Palmolein Oil, Seasoning, Maltodextrin, Spices, Sugar, Iodised Salt, Flavour Enhancers (627,631), Acidity Regulator (330)",36,C-,100.0,False,general,21,21,E,E,Robust grade (invariant to unresolved FVL)
13,Aquafina Water,Aquafina,Drinks,8902080504084.0,"Treated Water, Calcium Salts, Magnesium Salts",99,A+,,False,beverage,-6,0,B,B,Robust grade (invariant to unresolved FVL)
14,Boost,Boost,Health Drinks,89013022001897.0,"Cereal Extract, Malted Barley, Sugar, Wheat Flour, Milk Solids, Minerals, Natural Colour, INS 150c, INS 500(ii), INS 501(ii), Cocoa Powder, Vitamins, Natural Flavour, Soy Protein Isolate",29,D+,,False,general,16,21,,E/D,
15,Bourbon,Britannia,Cream Biscuits,8901063139350.0,"Refined Wheat Flour, Sugar, Refined Palm Oil, Edible Starch, Cocoa Solids, Milk Chocolate, Emulsifiers (322,471), Artificial Vanilla Flavour",26,D+,,False,general,21,26,E,E,Robust grade (invariant to unresolved FVL)
16,Britannia Good Day Butter,Britannia,Biscuits,8901063370135.0,"Refined Wheat Flour, Maida, Refined Palm Oil, Sugar, Invert Sugar Syrup, Milk Products, Milk Solids, Butter, Raising Agents (503ii,500ii), Iodized Salt, Artificial Butter Milk & Vanilla Flavour, Emulsifiers (472e,322)",25,D+,,False,general,18,23,,E/D,
17,Britannia Good Day Cashew,Britannia,Biscuits,8901063093713.0,"Refined Wheat Flour, Refined Palm Oil, Sugar, Invert Sugar Syrup, Cashew, Milk Products, Milk Solids, Butter, Raising Agents (503ii,500ii), Emulsifiers (322,471,472e), Artificial Vanilla & Milk Flavour",24,D+,,False,general,19,24,E,E,Robust grade (invariant to unresolved FVL)
18,Britannia Good Day Choco Chip,Britannia,Biscuits,8901063004139.0,"Refined Wheat Flour, Sugar, Dark Chocolate Chips, Hydrogenated Vegetable Oil, Cocoa Solids, Milk Solids, Raising Agents (503ii,500ii), Cocoa Powder, Emulsifiers (322,471,472e), Colour (150d), Vanilla Flavour",18,D,,False,general,22,27,E,E,Robust grade (invariant to unresolved FVL)
19,Britannia Good Day Pista Badam,Britannia,Biscuits,8901063094277.0,"Refined Wheat Flour, Refined Palm Oil, Sugar, Pistachio, Invert Sugar Syrup, Milk Solids, Butter, Raising Agents (503ii,500ii), Emulsifiers (322,471,472e), Colour (102), Artificial Vanilla Flavour",19,D,,False,general,19,24,E,E,Robust grade (invariant to unresolved FVL)
20,Britannia Marie Gold,Britannia,Biscuits,8901063023901.0,"Refined Wheat Flour, Sugar, Edible Vegetable Oil, Invert Syrup, Milk Solids, Raising Agents (503ii,500ii), Iodised Salt, Dough Conditioner (223), Emulsifier (472e), Colour (150d), Nature Identical & Artificial Flavour",21,D+,,False,general,11,16,D,D,Robust grade (invariant to unresolved FVL)
21,Britannia NutriChoice 5 Grain,Britannia,Biscuits,,"Whole Wheat Flour, Refined Wheat Flour, Ragi Flour, Corn Flakes, Rolled Oats, Jowar Flour, Rice Flour, Quinoa Flour, Wheat Bran, Milk Products, Honey, Raising Agents (500ii,503ii), Emulsifiers (322,471,472e)",29,D+,,False,general,12,17,D,D,Robust grade (invariant to unresolved FVL)
22,Britannia NutriChoice Digestive,Britannia,Biscuits,8901063372023.0,"Whole Wheat Flour, Refined Palm Oil, Sugar, Wheat Bran, Maltodextrin, Raising Agents (500ii,503ii), Malt Extract, Nature Identical Vanilla Flavour, Emulsifiers (322,471), Dough Conditioner (223)",30,C-,,False,general,14,19,,E/D,
23,Britannia NutriChoice Milk Biscuits,Britannia,Biscuits,8901063142886.0,"Whole Wheat Flour, Millet Flours, Rolled Oats, Wheat Bran, Sugar, Palm Oil, Milk Products, Raising Agents (500ii,503ii), Emulsifiers (322,471,472e), Colour (150d)",26,D+,,False,general,12,17,D,D,Robust grade (invariant to unresolved FVL)
24,Britannia NutriChoice Orange Biscuits,Britannia,Biscuits,8901063142893.0,"Whole Wheat Flour, Millet Flours, Rolled Oats, Wheat Bran, Sugar, Palm Oil, Milk Products, Orange Powder, Raising Agents (500ii,503ii), Preservative (202), Emulsifiers (322,471,472e), Colour (150d)",25,D+,,False,general,11,16,D,D,Robust grade (invariant to unresolved FVL)
25,Britannia Tiger,Britannia,Biscuits,8901063155329.0,"Refined Wheat Flour, Sugar, Refined Palm Oil, Choco Chips, Dextrose, Milk Solids, Raising Agents (500ii,503ii), Colours (150c,124,133)",15,D,,False,general,18,23,,E/D,
26,Britannia Treat Jim Jam,Britannia,Cream Biscuits,8901063029262.0,"Refined Wheat Flour, Sugar, Palm Oil, Milk Products, Fruit Jam, Raising Agents (503ii,500ii), Acidity Regulators (330,331iii), Colour (122), Artificial Flavouring Substances",16,D,,False,general,21,26,E,E,Robust grade (invariant to unresolved FVL)
27,Britannia Treat Orange Creme,Britannia,Cream Biscuits,8901063032705.0,"Interesterified Vegetable Fat, Refined Wheat Flour, Sugar, Coconut Oil, Emulsifier (322), Nature Identical Orange Flavour, Raising Agent (500ii), Colours (110,124)",16,D,,False,general,21,26,E,E,Robust grade (invariant to unresolved FVL)
28,Cadbury Bournville Cranberry,Cadbury,Chocolates,7622202325939.0,"Sugar, Cocoa Butter, Cocoa Solids, Dried Sweetened Cranberries, Almonds, Milk Solids, Emulsifiers (442,476), Natural and Nature Identical Flavouring Substances",21,D+,,False,general,24,29,E,E,Robust grade (invariant to unresolved FVL)
29,Cadbury Dairy Milk,Cadbury,Chocolates,7622202818363.0,"Sugar, Milk Solids, Cocoa Butter, Cocoa Solids, Fractionated Fat, Emulsifiers (442,476), Natural and Nature Identical Flavouring Substances",21,D+,,False,general,27,32,E,E,Robust grade (invariant to unresolved FVL)
30,Cadbury Perk,Cadbury,Chocolates,7622202344152.0,"Sugar, Refined Wheat Flour, Vegetable Fat, Milk Solids, Cocoa Solids, Emulsifiers (442,322,476), Raising Agent (500ii), Improver (1101i)",16,D,,False,general,25,30,E,E,Robust grade (invariant to unresolved FVL)
31,Cavin's Chocolate Milkshake,Cavin's,Milkshakes,,"Toned Milk, Sugar, Cocoa Solids, Flavouring Substances, Stabilizers (415,412,407), Sequestrant (451i), Iodized Salt",37,C-,,False,beverage,10,16,E,E,Robust grade (invariant to unresolved FVL)
32,Cavin's Spiced Buttermilk,Cavin's,Dairy Drinks,89014042001362.0,"Water, Milk Solids, Iodized Salt, Spices & Condiments, INS 460(ii), INS 466",60,B,,False,beverage,-1,5,,C/B,
33,Cavin's Vanilla Milkshake,Cavin's,Milkshakes,,"Toned Milk, Sugar, Flavouring Substances, Stabilizers (415,412,407), Sequestrant (339ii), Emulsifier (471), Iodized Salt",37,C-,,False,beverage,10,16,E,E,Robust grade (invariant to unresolved FVL)
34,Coca-Cola,Coca-Cola,Drinks,8901764012273.0,"Carbonated Water, Sugar, Acidity Regulator (338), Caffeine, Colour (150d), Natural Flavouring Substances",36,C-,,False,beverage,7,13,,E/D,
35,Complan Royale Chocolate,Complan,Health Drinks,8901542000102.0,"Milk Solids, Sugar, Peanut Oil, Maltodextrin, Natural Flavour, Cardamom, Minerals, Vitamins, Prebiotic, INS 150c",29,D+,,False,general,20,25,E,E,Robust grade (invariant to unresolved FVL)
36,Dark Fantasy Chocolate Milkshake,Sunfeast,Milkshakes,8909081005428.0,"Milk Solids, Sugar, Water, Cocoa Powder, Nature Identical Flavouring Substances, Stabilizers (407,412), Emulsifier (471), Acidity Regulator (339iii), Artificial Flavouring Substances, Iodized Salt",36,C-,,False,beverage,9,15,,E/D,
37,Diet Coke,Coca-Cola,Drinks,8901764061103.0,"Carbonated Water, Acidity Regulators (338,331iii), Sweeteners (951,950), Preservative (211), Caffeine, Colour (150d), Natural Flavouring Substances",31,C-,,True,beverage,-2,4,,C/B,
38,Diet Pepsi,Pepsi,Drinks,8902080000333.0,"Carbonated Water, Colour (150d), Acidity Regulators (338,331iii), Sweeteners (955,950), Preservative (211), Caffeine, Natural Flavouring Substances, Stabilizer (385)",30,C-,,True,beverage,-2,4,,C/B,
39,Farmley Almond Kernels,Farmley,Dry Fruits & Nuts,8906120100267.0,Almond Kernels,89,A,,False,fats/oils/nuts/seeds,-8,-8,A,A,Robust grade (invariant to unresolved FVL)
40,Farmley Pumpkin Seeds,Farmley,Seeds,8906120100151.0,Pumpkin Seeds,87,A,,False,fats/oils/nuts/seeds,-7,-7,A,A,Robust grade (invariant to unresolved FVL)
41,Farmley Sunflower Seeds,Farmley,Seeds,8906120107181.0,Sunflower Seeds,89,A,,False,fats/oils/nuts/seeds,-10,-10,A,A,Robust grade (invariant to unresolved FVL)
42,Frooti Mango Drink,Parle Agro,Drinks,8902579000370.0,"Water, Sugar, Mango Pulp (11.2%), Acidity Regulators (330,331iii), Stabilizer (466), Nature Identical Mango Flavour, Antioxidant (300), Food Colour (110)",29,D+,11.2,False,beverage,16,16,E,E,Robust grade (invariant to unresolved FVL)
43,Happilo Premium Californian Almonds,Happilo,Dry Fruits & Nuts,8902229990365.0,Californian Almonds,90,A+,,False,fats/oils/nuts/seeds,-8,-8,A,A,Robust grade (invariant to unresolved FVL)
44,Hershey's Chocolate Milkshake,Hershey's,Milkshakes,,"Water, Sugar, Milk Solids, Cocoa Solids, Emulsifiers (460i,466,471), Minerals, Sequestrant (339ii), Common Salt, Vitamin E, Vitamin A, Vitamin D2, Vitamin B1, Vitamin B2",28,D+,,False,beverage,7,13,,E/D,
45,Hershey's Vanilla Milkshake,Hershey's,Milkshakes,8901071732468.0,"Water, Sugar, Milk Solids, Emulsifiers (460i,466,471,407), Minerals, Sequestrant (339ii), Vitamins A,D2,E,B1,B2, Common Salt, Nature Identical & Artificial Vanilla Flavour",27,D+,,False,beverage,7,13,,E/D,
