product_id,product_name,category,age_group,nova,nutrition_score,ingredient_score,processing_score,additive_score,final_score,grade,cliff_penalty,dominant_nutrient,missing_data,flags
38,"Diet Pepsi","Drinks",elderly,4,50,55,90,0,30,C-,0,sodium,false,"allergen_undeclared|amplified_exposure_category"
39,"Farmley Almond Kernels","Dry Fruits & Nuts",child,1,62,100,100,100,87,A,0,saturatedFat,false,""
39,"Farmley Almond Kernels","Dry Fruits & Nuts",teen,1,72,100,100,100,90,A+,0,saturatedFat,false,""
39,"Farmley Almond Kernels","Dry Fruits & Nuts",adult,1,67,100,100,100,89,A,0,saturatedFat,false,""
39,"Farmley Almond Kernels","Dry Fruits & Nuts",elderly,1,67,100,100,100,89,A,0,saturatedFat,false,""
40,"Farmley Pumpkin Seeds","Seeds",child,1,56,100,100,100,85,A,0,saturatedFat,false,"allergen_undeclared"
40,"Farmley Pumpkin Seeds","Seeds",teen,1,68,100,100,100,89,A,0,saturatedFat,false,"allergen_undeclared"
40,"Farmley Pumpkin Seeds","Seeds",adult,1,63,100,100,100,87,A,0,saturatedFat,false,"allergen_undeclared"
40,"Farmley Pumpkin Seeds","Seeds",elderly,1,63,100,100,100,87,A,0,saturatedFat,false,"allergen_undeclared"
41,"Farmley Sunflower Seeds","Seeds",child,1,64,100,100,100,87,A,0,calories,false,"allergen_undeclared"
41,"Farmley Sunflower Seeds","Seeds",teen,1,75,100,100,100,91,A+,0,calories,false,"allergen_undeclared"
41,"Farmley Sunflower Seeds","Seeds",adult,1,70,100,100,100,89,A,0,calories,false,"allergen_undeclared"
41,"Farmley Sunflower Seeds","Seeds",elderly,1,70,100,100,100,90,A+,0,calories,false,"allergen_undeclared"
42,"Frooti Mango Drink","Drinks",child,4,28,47,90,29,25,D+,0,addedSugar,false,"allergen_undeclared|amplified_exposure_category"
42,"Frooti Mango Drink","Drinks",teen,4,49,47,90,29,33,C-,0,addedSugar,false,"allergen_undeclared|amplified_exposure_category"
42,"Frooti Mango Drink","Drinks",adult,4,38,47,90,29,29,D+,0,addedSugar,false,"allergen_undeclared|amplified_exposure_category"
42,"Frooti Mango Drink","Drinks",elderly,4,39,47,90,29,29,D+,0,addedSugar,false,"allergen_undeclared|amplified_exposure_category"
43,"Happilo Premium Californian Almonds","Dry Fruits & Nuts",child,1,64,100,100,100,87,A,0,totalSugar,false,""
43,"Happilo Premium Californian Almonds","Dry Fruits & Nuts",teen,1,76,100,100,100,92,A+,0,totalSugar,false,""
43,"Happilo Premium Californian Almonds","Dry Fruits & Nuts",adult,1,70,100,100,100,90,A+,0,totalSugar,false,""
43,"Happilo Premium Californian Almonds","Dry Fruits & Nuts",elderly,1,71,100,100,100,90,A+,0,totalSugar,false,""
44,"Hershey's Chocolate Milkshake","Milkshakes",child,4,16,42,100,54,25,D+,0,addedSugar,false,"amplified_exposure_category"
44,"Hershey's Chocolate Milkshake","Milkshakes",teen,4,32,42,100,54,31,C-,0,addedSugar,false,"amplified_exposure_category"
44,"Hershey's Chocolate Milkshake","Milkshakes",adult,4,23,42,100,54,28,D+,0,addedSugar,false,"amplified_exposure_category"
44,"Hershey's Chocolate Milkshake","Milkshakes",elderly,4,24,42,100,54,28,D+,0,addedSugar,false,"amplified_exposure_category"
45,"Hershey's Vanilla Milkshake","Milkshakes",child,4,18,42,90,50,25,D+,0,addedSugar,false,"amplified_exposure_category"
45,"Hershey's Vanilla Milkshake","Milkshakes",teen,4,35,42,90,50,31,C-,0,addedSugar,false,"amplified_exposure_category"
45,"Hershey's Vanilla Milkshake","Milkshakes",adult,4,25,42,90,50,27,D+,0,addedSugar,false,"amplified_exposure_category"
45,"Hershey's Vanilla Milkshake","Milkshakes",elderly,4,26,42,90,50,28,D+,0,addedSugar,false,"amplified_exposure_category"
